[
('syariah kota hancur warung bahagia f', 'negatif'),
('fikirin kesejahtraan rakyat kesejahtraan', 'negatif'),
('utun situ kopi', 'netral'),
('cm nambahin plus gurbenur nenek bs nomor program full', 'negatif'),
('heuheuheuu isi pemuda-pemudi dengar dengar ciri manusia cerdas berdi', 'positif'),
('loh nyalon ntt', 'negatif'),
('anis fokuswacana fokus kerja anis program kerja', 'negatif'),
('pasar tradisional mantaaaap', 'positif'),
('amen makan siang hibur orang', 'netral'),
('kecut', 'negatif'),
('nih fakta gaes pilih kualitas', 'positif'),
('hancur waru', 'negatif'),
('serius nih', 'negatif'),
('ngomongnya manis', 'negatif'),
('drama korea', 'negatif'),
('debat lu', 'negatif'),
('duduk meja lihatin konyol dukung https', 'netral'),
('malam mas pidato bangsa indonesia', 'positif'),
('jakarta rawan bakar bentuk urc jak fire', 'positif'),
('down 2 earth banding psangan t-que being tolerant n langsung ngeblok komen2 panas', 'positif'),
('pesan mas teman mahasiswa', 'positif'),
('hastag ya', 'negatif'),
('video korupsi gerindra turun anies-sandi', 'netral'),
('ayo pilih nomor 3', 'positif'),
('muhammad monib pidato bangsa bual https', 'negatif'),
('ayo pilih nomor 3', 'positif'),
('aselih ok oce banget goyang', 'positif'),
('salam 3 jari bosquuueeeeee d', 'positif'),
('horeee mart resmi bang cikajang kebayoran jaksel', 'positif'),
('testimoni ok-oce program emang cihuy banget yaahh', 'positif'),
('salam 3 jari bosquuueeeeee d', 'positif'),
('calon taik kucing otak dar moles gagas orang', 'negatif'),
('laku mas lihat fotografer tidur si isengggg d', 'netral'),
('alas tolak reklamasi', 'netral'),
('yoi', 'netral'),
('pahala num kopi tumbuh d cipta kholdi pe', 'positif'),
('kelasss badai bang ganteng bingit', 'positif'),
('pahala num kopi tumbuh d cipta kholdi', 'positif'),
('utun situ kopi', 'netral'),
('mari sonsong gubernur cc', 'positif'),
('lestari budaya betawi anies-sandi bangun museum benyamin sueb', 'netral'),
('muhammad monib pidato bangsa bual https', 'negatif'),
('buru kirim foto om kawan saudara', 'netral'),
('utun situ kopi', 'netral'),
('yarin yey', 'netral'),
('kikikik jelekk', 'negatif'),
('hhh', 'netral'),
('tidur gihhh nya bangun', 'negatif'),
('', 'negatif'),
('bangun', 'netral'),
('songng', 'negatif'),
('hihihi bngun jangkrikk', 'netral'),
('kali ah', 'negatif'),
('ayo', 'netral'),
('yarin yey', 'negatif'),
('shrus y cagub jebol mendikbud kasih contoh buar ajar alhasil mlh', 'positif'),
('tonton i berita', 'netral'),
('sekutu preman jubah jembatan eh dimanfaatin sara gagal ngontrol', 'negatif'),
('kunjung mall kelapa gading jakarta utara mas dicurhati huni apartemen', 'negatif'),
('muhammad monib pidato bangsa bual https', 'negatif'),
('viihwuiiiiii isiulang energijiwa riah raya ikatanbhineka payungin murka badaiangkara', 'positif'),
('kikikik jelekk', 'negatif'),
('hhh', 'netral'),
('hhh', 'netral'),
('tidur gihhh nya bangun', 'negatif'),
('terobos bagus bang abang smeoga lancar ya jalan amin', 'positif'),
('loh ira kjp hapus anies sandi pilih ternayata', 'netral'),
('mantap wakil gubernur main kahon gaul banget', 'positif'),
('asik bang sandi', 'positif'),
('hahahahha konglomerat dadak rakyat sih', 'negatif'),
('salam maju', 'positif'),
('maju kota bahagia warga anies sandi pimpin', 'positif'),
('pidato bangsa mas tonton via fb live', 'netral'),
('buka buka', 'positif'),
('okoce', 'positif'),
('salam', 'positif'),
('kereeeeen', 'positif'),
('mantaap', 'positif'),
('cc', 'netral'),
('mari sonsong gubernur cc', 'positif'),
('muhammad monib gemar bohong', 'negatif'),
('mohammad monib tukang bully', 'negatif'),
('muhammad monib intoleran', 'negatif'),
('mohammad monib tukang bully', 'negatif'),
('utun brisikk', 'negatif'),
('jabat pecat arti gagal kalo', 'netral'),
('iya', 'negatif'),
('sip maju', 'positif'),
('video korupsi gerindra turun anies-sandi', 'netral'),
('malam mas pidato bangsa indonesia', 'positif'),
('saran pakar2 komunikasi anies sandi', 'positif'),
('kayak hobi plus plus nya obsesi plus plus', 'negatif'),
('pilih super', 'positif'),
('salam 3 jari bosquuueeeeee d', 'positif'),
('ya luas manfaat baca2 t', 'positif'),
('perintah tata kampung nelayan muara angke amp', 'netral'),
('dah kamal batas jakbar tangerang khssnya pr ibu2 pd resah takut2i kjp a', 'negatif'),
('elep', 'netral'),
('tertawa lihat foto gt gt', 'positif'),
('inspirasi hajar fitnah slogan tangan akhr banged oke -oce banged', 'negatif'),
('perintah canang 9 ajar n gratis anak2 it', 'positif'),
('gub', 'positif'),
('tunggu bacot si bangke', 'netral'),
('fotografer lelah mas anies ttp semangat yah', 'positif'),
('coba ente resin', 'negatif'),
('maksud usak bangsa gitu', 'negatif'),
('lapor fb ya gara-gara cb ente tweet nya main suspen fb dasar bongkar mal', 'negatif'),
('hahaha jail yah', 'positif'),
('gubernur jaga jujur khianat rakyat', 'positif'),
('pas tri makan warteg bilang citra', 'negatif'),
('wualah program ahok copy paste mas prog', 'negatif'),
('iya', 'negatif'),
('rangkul cc', 'positif'),
('pilih', 'netral'),
('main plus ntr min lho', 'negatif'),
('selamat juang anis', 'positif'),
('penasaran pilih ak', 'netral'),
('layan warga jakarta lahir program', 'positif'),
('golong sumbu pendek lo fpi piara keluarga cendana bibib risiek ulama mesum demo kerja', 'negatif'),
('ahok didzolimi ahok bebas', 'positif'),
('prof edward omar sharif h ahli pidana pndpt ahli unsur pasal 156a kuhp', 'positif'),
('ahok didzolimi ahok bebas', 'positif'),
('ahok djarot gaul badai tata kota jakarta', 'positif'),
('penasaran pilih ak', 'netral'),
('15 surah al maidah 51 arti umat pilih pimpin muslim', 'positif'),
('ahok penjara bersih2 penjara biar ahok', 'negatif'),
('tunggu program unggul ahok djarot', 'positif'),
('ahok didzolimi ahok bebas', 'positif'),
('ikuuut', 'positif'),
('warga negara republik indonesia sosok ahok', 'positif'),
('wkwkwk udang dbalik batu', 'negatif'),
('dzolimi bgmana jelazz mendolimi umat islam sampean sehat', 'negatif'),
('7 contoh analogi orang curi indonesia dasar hukum positif hukum pidana penjara', 'positif'),
('nista agama yaa', 'negatif'),
('kultwit poin saksi ahli sidang ahok yuk simak', 'positif'),
('kultwit poin saksi ahli sidang ahok yuk simak', 'positif'),
('kultwit poin saksi ahli sidang ahok yuk simak', 'positif'),
('kultwit poin saksi ahli sidang ahok yuk simak', 'positif'),
('moga ahok djarot unggul putar', 'positif'),
('moga ahok djarot unggul putar', 'positif'),
('moga ahok djarot unggul putar', 'positif'),
('moga ahok djarot unggul putar', 'positif'),
('subhanallah djarot', 'positif'),
('ahok bangun masjid', 'positif'),
('warga negara republik indonesia sosok ahok', 'positif'),
('warga negara republik indonesia sosok ahok', 'positif'),
('warga negara republik indonesia sosok ahok', 'positif'),
('warga negara republik indonesia sosok ahok', 'positif'),
('ahok djarot gaul badai tata kota jakarta', 'positif'),
('ahok djarot gaul badai tata kota jakarta', 'positif'),
('ahok djarot gaul badai tata kota jakarta', 'positif'),
('ahok djarot gaul badai tata kota jakarta', 'positif'),
('kultwit poin saksi ahli sidang ahok yuk simak', 'positif'),
('alhamdulillah ahok djarot peduli film nasional amp warga', 'positif'),
('ahok didzolimi ahok bebas', 'positif'),
('moga ahok djarot unggul putar', 'positif'),
('penasaran pilih ak', 'positif'),
('tunggu program unggul ahok djarot', 'positif'),
('subhanallah djarot', 'positif'),
('2x nonton kompas televisi ngakak bnr2 pimpin jaim amp program', 'positif'),
('ahok hati amp peduli rakyat ahok cocok pasang djarot', 'positif'),
('alhamdulillah bukti ahok djarot peduli guru agama', 'positif'),
('angka 1 nya sisih angka 2 angka 1 3', 'positif'),
('program ahok djarot program peduli kaum perempuan', 'positif'),
('ahok-djarot layan warga jakarta', 'positif'),
('beda keren lengkap', 'positif'),
('cerita djarot bukti ahok peduli umkm peduli warga', 'positif'),
('ahok gaul badai ahok kompromi curi', 'positif'),
('ahok ahok mulia umat islam', 'positif'),
('jago mna jago', 'positif'),
('subhanallah djarot', 'positif'),
('moga warga madura jakarta pilih ahok djarot', 'positif'),
('cium mesra djarot bu senang acara ros kompas televisi sweet banget ya', 'positif'),
('pa badja menang doa pa hidup ahok djarot merdekaaa', 'positif'),
('blusukan djarot pasar kemiri undang respond positif warga', 'positif'),
('djarot bu senang pasang serasi acara ros kompas televisi kemarin minggu malam gaul badai', 'positif'),
('ahok-djarot sosok pimpin layan warga anti korupsi', 'positif'),
('ahok djarot gaul badai tata kota jakarta', 'positif'),
('warga jakarta gaul ayo dukung juang ahok bangun jakarta', 'positif'),
('alhamdulillah basuki djarot kubu ppp', 'positif'),
('warga negara republik indonesia sosok ahok', 'positif'),
('nyata seru', 'positif'),
('ahok djarot teman rakyat ahok djarot layak pilih pimpin jakarta', 'positif'),
('bangga hadap karakter pro ahok djarot karakter ahok djarot butuh warga jakart', 'positif'),
('alhamdulillah ahok djarot dukung 2 pramugari super gaul awwww mimin naksir', 'positif'),
('jakarta bersyariah wujud jakarta berbhinneka pilih ahok-djarot', 'negatif'),
('ahok-djarot layan gue layan warga jakarta', 'positif'),
('hasil kerja nyata rasain', 'positif'),
('bpk amp bpk djarot kandidat pimpin jakarta', 'positif'),
('gentlemen anies racists hypocrites not use let blasphemy lie aksi212 aksi313 untruth lies coz without those', 'positif'),
('warga dki harap pilkada dki pu', 'netral'),
('jakarta rusun festival rebut hadiah utama unjung klub valencia fc mantap', 'positif'),
('ahok tkw saudi kerja bersih bersih masjid 1 kontrak selesai sa', 'netral'),
('jakarta bebas banjir mari wujud', 'positif'),
('dukung jujur bohong percaya', 'negatif'),
('nya ya oke', 'negatif'),
('bodoh dukung', 'negatif'),
('dukung jujur bohong percaya', 'negatif'),
('32 bebas tuntut ahok salah the best', 'positif'),
('anis fokuswacana fokus kerja anis program kerja', 'negatif'),
('tangan ahok-djarot titik banjir jakarta loh hasil normalisasi sungai', 'positif'),
('lempar handuk', 'negatif'),
('yup islam toleran dukung pks biarin belah', 'positif'),
('ibukota jakarta milik buah golong milik', 'negatif'),
('hahaha lucu lomba ya', 'negatif'),
('habis flip bottle lomba kampanye positif', 'positif'),
('ya kembar wagub', 'netral'),
('kreatif nih lomba', 'positif'),
('terap islam moderat jakarta', 'positif'),
('dukung jujur bohong percaya', 'negatif'),
('sejuk terap islam moderat', 'positif'),
('keren', 'positif'),
('ahhhh', 'positif'),
('', 'netral'),
('dukung jujur bohong percaya', 'negatif'),
('seru nih lomba cc', 'netral'),
('kuat', 'positif'),
('12 era rsud kualitas tara rumah sakit swasta nama jakarta rsud tara kelas', 'positif'),
('mbah sampean kali kawan saudara ikutin', 'netral'),
('ayo slankers kali', 'netral'),
('mas hitung2 sumbangsih nyata konglomerat rakyat dki', 'negatif'),
('om2 nyok', 'netral'),
('buru kirim foto om kawan saudara', 'netral'),
('kumis whatsapp kesini 085887392681 hadiah smartphone', 'netral'),
('kumis ayo', 'netral'),
('kumis djarot whatsapp kesini 085887392681 hadiah smartphone', 'netral'),
('hadiah ayo', 'netral'),
('ayo', 'netral'),
('5 modal menang telak kejut putar', 'positif'),
('ush d tonton tdk tayangin d', 'negatif'),
('temu foto rencana kecurangan2 pasang waspada', 'negatif'),
('pilih aza dh takabur iiih', 'negatif'),
('with dki jakarta cari kerja latar', 'negatif'),
('transportasi bus rute perempuan ganti transportasi', 'positif'),
('this is informasi guys keep on will knock us down absolutely', 'negatif'),
('dapet sms sms nya', 'negatif'),
('pimpin contoh lupa warga dki jakarta coblos no 2', 'positif'),
('70 puas masyarakat hadap djarot berterimakasih', 'positif'),
('dukung basuki-djarot laku patungan terdftr amp pakai hak pilih pd 19 apr', 'positif'),
('om swastyastu selamat raya nyepi hening moga temu damai lang', 'netral'),
('1 fasilitas tunjang bangsa hidup sejahtera bekal didik laya', 'posting'),
('terimakasih teman2 tonton jumpa minggu topik seru amp bintang tamu kece', 'positif'),
('jpu kuasa hukum adu bukti sidang ahok menang', 'negatif'),
('buka yuk putar', 'negatif'),
('ahok bkrja system anis pakai emosi', 'positif'),
('mesti bikin sinetron ahog ngepet segra masuk bui mulut k', 'negatif'),
('lapor dkpp cc', 'negatif'),
('muka2 firaun anti agama alias kominis', 'negatif'),
('cek usaha in', 'negatif'),
('adem lihat bangun indah wisata religi kelas terimakasih', 'positif'),
('duka pulang ayahanda senin 3 april 2017 moga damai tenang', 'netral'),
('bank pmliknya', 'negatif'),
('allah subhanahu wata ala hak', 'negatif'),
('undang kapir ga waj', 'negatif'),
('dukung basuki-djarot laku patungan terdftr amp pakai hak pilih pd 19 apr', 'positif'),
('bodoh bohong orang komini', 'negatif'),
('kutuk allaah swt iblis begundal blings', 'negatif'),
('cinta hubung produktif laku amp lingkung https', 'positif'),
('ya muka2 sisa2 g30spki orang tuhan hati2 s', 'negatif'),
('biar nisan tanam kaki dki matek cc', 'negatif'),
('duka pulang ayahanda senin 3 april 2017 moga damai tenang', 'netral'),
('booyaa mantap', 'positif'),
('jubir ya', 'negatif'),
('replace', 'negatif'),
('18 milik karakter beda hati tulus layan raky', 'positif'),
('jakarta rusun festival rebut hadiah utama unjung klub valencia fc mantap', 'netral'),
('dana kampanye ahok rkyt', 'negatif'),
('', 'netral'),
('borok si', 'negatif'),
('wajar kena maki akibat kepedean', 'negatif'),
('makan lae gorgom biar paham kau kau intoleran', 'negatif'),
('duka pulang ayahanda senin 3 april 2017 moga damai tenang', 'netral'),
('pagi suara adzan sentuh kalbu lonceng gereja dentang merdu nada slg baku', 'netral'),
('16 beda ajar terima buah kaya', 'positif'),
('32 bebas tuntut ahok salah the best', 'negatif'),
('heran pecat lha kursi kantor meja duduk atur', 'negatif'),
('pa tweet d hilang ya nyumbang', 'negatif'),
('blunder mrnyindir sola angkut jakarta netizen puji kerja', 'negatif'),
('karakter pro', 'positif'),
('jakarta rusun festival rebut hadiah utama unjung klub valencia fc mantap', 'netral'),
('kalang dukung jengah laku dukung radikal', 'positif'),
('apresiasi gp ansor', 'positif'),
('tim kuasa hukum ahok putar 3 video sidang', 'negatif'),
('pakai almaidah annisa demo berjilid2 pakai dokter bedah orang asing heran hantam ya', 'negatif'),
('sebar cerita', 'positif'),
('gubernur', 'positif'),
('moga menang ya moga', 'positif'),
('diam intoleran negeri indonesia', 'negatif'),
('ahok mohon doa anak2 yatim beliau djarot amanah', 'positif'),
('koplok akhok', 'negatif'),
('tata kota perhati serius era ahok-djarot', 'positif'),
('ahok-djarot hasil titik banjir 2 200 titik 2012 80 titik tahhun 2016', 'positif'),
('ahok-djarot jakarta banjir mukim macet', 'positif'),
('bangun mental didik gratis biaya didik solusi ahok-djar', 'positif'),
('sayang perintah hidup musisi', 'negatif'),
('bukti ahok-djarot bangun fisik jakarta mental warga bangun', 'positif'),
('makan lae gorgom biar orang modal tweet sampah bagus kau diam', 'negatif'),
('moga hidayah islam allah swt aamiin', 'negatif'),
('9 jaga transparansi sumbang', 'negatif'),
('8 orang miskin orang kaya patungan sumbang', 'negatif'),
('rptra kalijodo bangun ahok-djarot maskot rptra jakarta', 'netral'),
('6 warga sumbang hasil keringat layan jakarta 5', 'negatif'),
('fisik jakarta benah bidang ahok-djarot laku bangun', 'positif'),
('jakarta bebas banjir mari wujud', 'positif'),
('2 warga partisipasi sumbang kesini bendung', 'positif'),
('ibukota jakarta milik buah golong milik tuju', 'negatif'),
('1 bukti kasih sayang tuhan melaui warga dki jakarta indonesia', 'positif'),
('tau ahok djarot', 'negatif'),
('mesti bikin sinetron ahog ngepet segra masuk bui mulutn', 'negatif'),
('alhamdulillah saksi belitung ahok jelek islam', 'positif'),
('subhanallah ahok bangun masjid belitung timur jakarta', 'positif'),
('moga hidayah islam allah swt aamiin', 'negatif'),
('mental tempe', 'negatif'),
('58 program contek program keren http', 'negatif'),
('60 maju saing lihat mubadzir', 'negatif'),
('tenun bangsa dirobek2 pilkada bang pakde semangt m', 'negatif'),
('lapor ahok kompetensi', 'negatif'),
('bicara ketua ga takut ngajuin sertifikat tanah nilai tanah maks 2m bayar pajak bphtb', 'positif'),
('titip ahok amp djarot allah bukti umi nurul sayang bpk beliau sekian kali rumah lemb', 'negatif'),
('ahok-djarot layan warga jakarta', 'positif'),
('ahok-djarot janji masjid raya jakarta nama tokoh nu muhammadiyah', 'positif'),
('jakarta bebas banjir mari wujud', 'positif'),
('lapor', 'negatif'),
('1 program laku pimpin jakarta', 'netral'),
('4 samping bukti bawa ubah jakarta fisik mental warga', 'positif'),
('6 total hasil bangun 188 ruang publik padu ramah anak rptra sebar wilayah', 'positif'),
('ikhtiar hadir islam moderat dki nama masjid nama tokoh ulama moderat nusantara', 'positif'),
('11 bidang sehat tingkat fasilitas rumah sakit puskesmas', 'positif'),
('hadir islam rahmat moderat', 'positif'),
('14 sisi rehab total puskesmas 34 lokasi camat', 'positif'),
('17 tenaga medis program ketuk pintu layan hati bukti prestasi', 'positif'),
('18 tuntas wajib didik 9 didik gratis kjp', 'positif'),
('21 bukti bangun fisik jakarta mental warga bangun', 'positif'),
('23 jakarta banjir mukim macet', 'positif'),
('24 normalisasi sungai solusi nyata banjir jakarta bukti hasil titik banjir', 'positif'),
('27 solusi bidang mukim warga', 'positif'),
('29 bangun bukti nyata macet', 'positif'),
('30 bidang pariwisata bukti buka wisata', 'positif'),
('fakta brutal tindas rakyat brpikir cerdas dasar iman amp kemanusian', 'negatif'),
('hasil standar layan masyarakat indonesia fakta', 'positif'),
('', 'netral'),
('shohib rawan djarot sholawat dukung seru ukhuwah islamiah saudara islam', 'negatif'),
('rawan lawan isu sara sholawat', 'positif'),
('anggap adil bangun didik forum guru swasta dukung', 'positif'),
('yukk mmeilih pimpin jakarta salah pilih', 'positif'),
('bantu tim merah ahok-djarot bnr programny', 'negatif'),
('cc salam ok oce makjleb', 'negatif'),
('', 'negatif'),
('afgan amp maia bisikin ahok', 'negatif'),
('hahaaaaa nama ya asep ibrahim benci ormas intoleran', 'negatif'),
('angka 1 nya sisih angka 2 angka 1 3', 'negatif'),
('2 tahan karakter integritas kerja keras fokus sejahtera raky', 'positif'),
('1 butuh pimpin milik karakter integritas kerja keras program', 'positif'),
('32 bebas tuntut ahok salah the best', 'positif'),
('perhati', 'negatif'),
('29 orang ahok paham karakter orang pilih djarot jujur', 'negatif'),
('transjakarta 5 ahok djarot rapi aman nyaman', 'positif'),
('kronologi ahok-djarot walk out sidang pleno kpud dki buka cctv', 'negatif'),
('17 beda keren lengkap', 'positif'),
('16 beda ajar terima buah kaya', 'positif'),
('', 'negatif'),
('', 'netral'),
('wajar kena maki akibat kepedean', 'negatif'),
('', 'negatif'),
('program jadiin warung jakmart akses langsung pusat kulak jakarta', 'netral'),
('tum ppp djan faridz gerak menang', 'positif'),
('alhamduliah berkat program ros amp pimpin jakarta fpi dukung', 'positif'),
('transportasi bus rute perempuan ganti transportasi', 'positif'),
('biar ngrepotin prabowo aman ya pilih', 'positif'),
('the show must go on', 'positif'),
('halte busway jcc senayan tumpang numpuk halte padat bahaya', 'negatif'),
('', 'netral'),
('panggung konser tunggal cc', 'negatif'),
('bu veronica tan pintar ya mural', 'positif'),
('bu senang djarot nikmat mural tembok', 'netral'),
('veronica tan senang djarot cantik', 'netral'),
('enak warga jakarta perintah ahok djarot', 'positif'),
('pilih ahok djarot bukti kerja pilih h', 'positif'),
('bang tompul kayak bajing loncat nyata suka', 'negatif'),
('ya', 'positif'),
('mingkem daaah v gt', 'negatif'),
('', 'netral'),
('alias purnomo bawa2 nu politik bilang campur aduk agama politik c', 'negatif'),
('ok-oce', 'negatif'),
('media ukur jarang publik paham orilaku media', 'negatif'),
('ok-oce', 'negatif'),
('program mutu', 'negatif'),
('contoh efektif anggar', 'positif'),
('utie tinggal lapang tembak', 'negatif'),
('buka yuk putar', 'netral'),
('bersih sesuai atur alloh amanah percaya a', 'negatif'),
('dakwa pala', 'negatif'),
('trending topik dki jakarta it s or never a better governance', 'positif'),
('alhamduliah berkat program ros amp pimpin jakarta fpi dukung', 'positif'),
('kreatif dunk efektif', 'negatif'),
('ayo gebrak ngandalin efektif banget', 'negatif'),
('', 'netral'),
('keren wni philadelphia usa dukung', 'positif'),
('tul kah n', 'negatif'),
('mental tempe', 'negatif'),
('mecah belah golong fpi dimalumi fpi demo bayar ulama', 'negatif'),
('sosok djarot rendah hati haru lihat foto', 'positif'),
('makan bangggg', 'negatif'),
('tum ppp djan faridz gerak menang', 'positif'),
('ahok djarot jujur badja jujur jujur bohong', 'negatif'),
('kampanye hitam', 'negatif'),
('hitung suara pilkada dki 2017 langsung bersih mari kawal', 'netral'),
('percaya pimpin jakarta butuh kepala lurus kepala lurus berani lurus', 'netral'),
('bicara kena sumber dana kampanye warga rumah lembang', 'netral'),
('perempuan laki beda hak amp tanggung urus keluarga', 'positif'),
('ton menang bpk beliau haru bantu pulih sehat', 'positif'),
('ya isi kado nonton', 'netral'),
('yuk nonton seru main tebak', 'netral'),
('selamat pagi tweeps warga rumah lembang langsung ramai sambut', 'positif'),
('pimpin jakarta hubung ortu amp anak anak2 hasil sehat didik amp budi pekerti', 'positif'),
('kl siswa nekad antem tindak perintah orang tua sanksi didik', 'positif'),
('yg bantar sungai pindah rusun kualitas hidup percaya warga korupsi', 'positif'),
('anti korupsi amp seleweng data seleweng pd kjp sepenuh pakai butuh anak', 'positif'),
('kasihan ortu lahir dunia 2 otak nganggur dua2nya', 'positif'),
('onta biar pintar otak taro kepala punuk dua2nya', 'negatif'),
('bantai anis jahat tolol wkwkww', 'negatif'),
('kanan si nista minggu mewek2 m', 'negatif'),
('lihat syapa tolol wibawa mulut sampah', 'negatif'),
('saran partai ppp ka bah gambar dukung nista alquran nya ganti babi', 'negatif'),
('pagi pagi suara adzan wooooooooyyyy tau agama ya', 'negatif'),
('gubernur', 'negatif'),
('titip ahok amp djarot allah bukti umi nurul sayang bpk beliau sekian kali rumah lemb', 'positif'),
('nama asep ibrahim asli adiannapitubulu', 'negatif'),
('waspada waspada ahli fitnah berjama ah', 'negatif'),
('normalisasi sungai eru sungai solusi jangka pendek solus', 'positif'),
('mohon fasilitas bus hubung transjakarta bus sekolah jalur ciledug-joglo-pos pengumben', 'netral'),
('solusi joglo macet bnget sempit mobil skr', 'negatif'),
('spanduk bilang fitnah salah no 2', 'negatif'),
('yuk nonton seru main tebak', 'netral'),
('contoh efektif anggar', 'positif'),
('maaf pilih ahok djarot htt', 'positif'),
('sistem bangun ahok djarot tinggal dukung ayo dukung', 'positif'),
('transportasi bus rute perempuan ganti transportasi', 'positif'),
('djarot senyum pedih wkwkwkkk', 'negatif'),
('hukum langgar atur kampanye', 'negatif'),
('karya jakarta', 'positif'),
('arti munafik murtat', 'negatif'),
('mslny greja pmimpin greja merintahkan jemaatny pilih masuk jg', 'netral'),
('ahok-djarot bentuk pasu khusus biru oranye kuning hijau', 'positif'),
('bos', 'netral'),
('ahok dakwa fitnah ormas2 biadab radikal intoleran', 'positif'),
('mohon bantu', 'positif'),
('3500 bekas sampi kuningan berkat terima kasih', 'positif'),
('acara garing banget sorry say kompas televisi brkualitas', 'negatif'),
('betuuuullll', 'positif'),
('pns kerja dki score card kerja singkir sistem', 'positif'),
('guru ajar empati hati murid', 'positif'),
('bangun mental didik gratis biaya didik solusi', 'positif'),
('cara2 pki halal', 'negatif'),
('kerja kreatif anak muda kerja amp cipta lapang kerja bantu latih amp moda', 'positif'),
('pilih ahok djarot bukti peduli warga', 'positif'),
('cang djarot aye kasih jempol dah', 'positif'),
('bahaya pilih pimpin non muslim', 'negatif'),
('dosena nyontek dosen suka marah siswa nyontek', 'negatif'),
('kawasan jaring orang warga peluk erat djarot salah bukti perintah', 'positif'),
('kartu jakarta usia rencana 2013', 'positif'),
('tau beda pilkada amp pil kb bpk yuk tonton pidato ya selera humor hehe', 'netral'),
('anak2 putus sekolah dorong daftar', 'positif'),
('bidang sehat ahok-djarot tingkat fasilitas rumah sakit puskesmas https', 'positif'),
